summoner_id,champion_id,mastery_points
O-zHTe144OCCksEY3ltY36IpdGLPFx25KMv7_gWVDKQhHkk,2,2694
syyDvDHtiapVo9ugjXsymBvLTfOcTSVYjuQYO-d-_aar6A,254,428665
5EO-Ix2ebzLGRWlYSWo-ZremqIbX-EfdkzuW1JdhxWr9Q8M,245,28888
KpxSgO_TPJwFv2Uwi0L6YTE9QaSVy3_CPPioU-mKu_EbfAMXKH76rdKX,89,65708
EymiYu83LwoG5rKehRGj0q1TZ59q8d-DHljbTwMmhEgR-9UQlBjk2EfT,126,1884
ijIguMJISrnD3FcJoQa20r-ghIMyl1-a6e9dZmkatBRCD-Y,498,6729
e8jFch-yWU_lqrwUMi1TdeO_OGNNdneCHmqaGoWJTd3kYQ,35,2631
vGbrDBGWMKALcnsmhNX-bJzWiunMPMkhWB8ESTPYhiEuIRw,67,198022
ECDWDgXlkGONCTWBXvO8je7ASA2WfKfhaK4t3R_PKFdOFBY,103,41777
bjDsYYC1TwcjnaCK3GdLx-3vhuW_VjTJCs8zTwOEeKJcBPk,81,72161
hZPgOtPKkxpFqfaD5GokglPRMhjP8_7xXaEtC9iuJIu1cz4,517,47271
tK5UBb7qcXGxQ55GXQ3IHL2ya0nFOK2eFr0I5nXjHQs,246,12085
8_nHM_9GB5LoZlmgdwbcVFLRgFanrw4eE8rgmVhc6yxrDiU,236,8803
P28Dqnl0TT3K8HkEnlNcz01-hDf4RCjD9ivFq35QzYUmYBA,53,296877
486nP8vgjj7d4QNV8uu9DE9iLWrJX2-c4cazyiSvAwNgrjQ,236,36554
yx7a6GkEm44uITfqEYmVTZBSK8uN_oaJZ-M-j__FJ640Hbg,114,51475
Yi10jPkf7e0a7WVMoHsfLpMGLre8QV6yRU6RHd1mOebFNQ,246,40642
zpdKBkJkJP0aylssFczoaZ_yklJpjafJDFmJB1_ZpDC-WA,19,36102
oo-PC7iIZhTyE_9OYa0C5ElczVEGP-puiOvS3b7-BiwZqQ,85,20637
KdQR_8FzXJzJnCRhz8K7b5a25kuCOU4ZG9OwdJHk36E6tjU,76,156884
Bd6Be7UO_S5Bli1RD2xPHhYP0f3EuBe_js4Xpk4ANJi3DQ,236,413992
a-mOLoQcTPS4a3G3Ajk7Ye5TSr3q4G8tq8KiP-1CxCrqp3M,111,7654
XrSOOtfZKGn2i0kBmfG2kuVcLxjnEGvKR_JbKMPZLAoU-Q,57,656685
vE0EO8nhAv-GquPVCflaZZcmyNuE3YfDct4OL95j4gQTMUM,68,170161
JzXBlMda0Pv9VNLXJCBnDMu5VxelflnDblM12PnCi2-VVg,145,116581
Azw8iqEQLQxQkC1aEhz5njpheUT4n5GNzWujONU6DvNxX_W4EVHdxieu,164,203609
3P_7dTzqsqk009RIoPDEvV3_jB2xCIcbol2AjZW_xQKxlg,145,31738
sPjJD4N96a0R4eZ3dRN3ekj2vx0IZY-vNwTZND92UFHMh8rNOILndNvS,164,3232
wO3NuPSENCGrp7Pu-WFPR_YNJ5RCdhxOyewqSZeSx7YdwEo,24,600755
6CW362DrZ4XNC2USeHmX_vhYVZfYQH7sYkSTq_ZjOUFNStPHsKc3f-_U,161,924
rReqvoX9VGJeQwXT2pc32EEEnwxs3xpKmOXGs5RFeSx0qag,236,227878
0TngAJH1aPF6dyBrCd6FovMxSAb7SH587TitWARL-bg5QL8,3,3794
MPQtqrjx3_bdngsz0SZ75JS0Ps5HBQNtvRpSnLzQaNYiN2Q,38,3768
0BQUiSHEI2abOYRTO7-_ko_X1KYUkac1WCh4Jrp25-it-4M,245,29049
py2I2jDuNuYEVePtH2s7BElBJMAXQPOmCJgzKWmpnGfvJbEaLrdSlExo,15,986
-Govugun3f94nZVaYa6Swmcv7kc3KmXE0OTqzSEUlqUz9Q,246,18261
8e3XKKLu6uzBx1IX4xdKBtjlwITlBk4ywzZhV9Wbx_BwXTY,18,1954
CUjYTB5o7yCq7fKVkJEUhvAj-ez5MrrfIpHfGct6At-gH2E,8,9771
Noc0twa-2TZeOFi1snpNzYJba7LK0B5cydkXWZkKDapBXA,84,45694
Q5xj2bSO-F2_arU7Q-kqYlm0Qx9YXRLG2Z-wRsoKfM8mJw4,236,246917
yIxqyEeXG_W1smJOiDTWAxS7mfPqCaxzmVIVVQ4SaF40bw,13,54131
Ae1YoUueL3PNc1V5WRbOITUj55qcqGtaTomZSY_v9jfc27k,555,14356
RXjeGZ5Dy3e9uhiM6OSrpp-oy6bVyfZIjegq9ftt0WT-uFpI6px4kHv-,164,9252
5ctpwU1ZIH-AD20D3b1daP8fLFSn3_Fr7wnjKbsJcZDzXg,122,69070
RXjeGZ5Dy3e9uhiM6OSrpp-oy6bVyfZIjegq9ftt0WT-uFpI6px4kHv-,53,1060
UeVwlvDZq88zXqi7Io5hmilWwS-jtKo1BnGEwXpBBr-elg,498,8101
EW_6gzVyp6IOagzHw5jokNdEcAMcEwzIQHHaLJ7k2iytsA,80,2125
Wmv-lOpavJhvj1GGWWQtK0l3kc5yxz-GGh_rp_MfbXXxLyT9n0TsvPtT,145,61963
rw0k8x5HxdBfcbZ_FX1qKriEf4r38v6hC8ETcwd2K-gNRA,111,12571
yIxqyEeXG_W1smJOiDTWAxS7mfPqCaxzmVIVVQ4SaF40bw,41,71548
LNqBJzyCo_ZaH42YbIErmwu-SmmU5jv3iVphFrOffDHtAuo,157,216757
LqdgYZdTEeCXtur_YUjk-qTzRNdpvTVKTPvSfNzIDKc,51,16813
YuqejB-4CwFdAhRGg2fTqXmTRlgN13qGFvPqwRGN1ikK0O3rjEJ2ki_x,90,201713
2Y4MPwblQBltGnvK6OzHqCpL4-HNPcCPeSJwy5Dcutr8Ww,74,73414
9CqsIi_3-0-5qF-JAPsPqa56btwCyG849xqovSLBgODY-A,86,5229
VmYqui63fODVzbPq9ARSviRNCdRSE0VyXQrUGQgarS6-DvY,39,18061
-vJmSvj5jW0AMAxDD2iIicIAUe0B2A9ByUO_DbZCkfXfbjY,104,165665
pc5dT8SsavmRPfQ8ghRoJ12qqhrjilYqb27zWkrB8edMhA,164,230617
VuWIgAX8yXTyIF3p3hu74NibQ7PdeAdk9NEO5tUGHJYssJk,136,658
U-PV1Cdz0L2ssd0ib3wBRbWzp60V-jeb0EQsxHe_ebbIZZU,246,6536
DdSpmcE7VJYLYuiDkkWnPwhb7nVAi_7oOIpuRnhFD0Rpyw,154,249
so9yzLNA7WqBJK1JyaFaLHXsTDhO8Ae30SCZuMcnL0crU6E,4,16398
BvIzMNj3YEF81RcFQ4aWRyCerkQHq36Lo1qrB8GxyEczrw,498,1077
