top_vs,top_mastery,side,first_brick,first_blood,first_dragon,first_herald,first_baron,first_inhib,num_towers,num_dragons,num_barons,num_inhibs,result,jungle_vs,jungle_mastery,mid_vs,mid_mastery,adc_vs,adc_mastery,sup_vs,sup_mastery
14,13066.0,blue ,False,True,False,False,True,False,2,0,1,0,False,54,30351.0,11,13147.0,18,6333.0,34,41783.0
17,7549.0,red  ,True,True,False,False,True,True,6,2,1,1,False,12,11928.0,30,1147456.0,31,80414.0,57,313148.0
19,16231.0,blue ,False,False,False,False,False,False,3,1,0,0,False,13,138006.0,17,32044.0,19,92927.0,58,118032.0
25,34567.0,red  ,True,True,False,True,False,True,6,2,0,1,False,21,92093.0,30,72149.0,45,142546.0,65,108696.0
25,176193.0,red  ,False,True,True,True,True,True,10,2,1,2,True,25,299115.0,27,204199.0,21,231322.0,50,95657.0
40,86577.0,blue ,False,False,False,False,True,True,8,2,1,3,False,72,1081319.0,32,390584.0,56,53402.0,79,6288.0
31,73483.0,blue ,False,False,True,False,False,False,2,3,0,0,False,40,49756.0,26,88977.0,20,369033.0,96,153279.0
22,151337.0,red  ,False,False,False,False,False,False,1,0,0,0,False,20,300878.0,9,54990.0,13,417732.0,37,12474.0
22,251125.0,red  ,True,False,False,True,False,False,4,0,0,0,False,25,86054.0,26,5072.0,26,1605002.0,53,178346.0
25,12787.0,red  ,False,True,False,True,False,False,2,0,0,0,False,29,140216.0,29,8116730.0,18,2299.0,50,37846.0
49,1810.0,red  ,False,True,False,False,True,False,6,2,1,1,False,45,1050771.0,33,547985.0,20,79716.0,81,405239.0
29,101521.0,red  ,False,True,False,False,False,False,0,0,0,0,False,24,143361.0,8,14402.0,18,40393.0,63,10969.0
19,12318.0,red  ,True,False,True,False,False,False,1,1,0,0,False,20,60716.0,13,653562.0,11,87115.0,32,107979.0
32,838600.0,blue ,True,False,False,True,False,True,8,1,1,1,True,58,29764.0,16,32821.0,40,244796.0,76,110032.0
36,110539.0,red  ,True,True,True,False,False,False,5,3,0,0,False,44,78808.0,22,32044.0,21,171237.0,74,13842.0
48,110539.0,blue ,True,False,True,True,True,False,4,2,3,0,False,52,640232.0,28,22029.0,18,345882.0,104,13938.0
20,128153.0,blue ,True,True,True,False,True,True,8,2,2,2,False,41,5528.0,23,1530907.0,29,221958.0,101,32258.0
8,55548.0,red  ,False,False,False,False,False,False,1,1,0,0,False,21,132306.0,9,217482.0,15,841818.0,33,44611.0
15,5945.0,blue ,True,True,True,True,True,True,7,4,1,1,True,34,10705.0,27,364125.0,42,170844.0,69,358047.0
26,117865.0,red  ,False,True,True,False,True,True,6,3,1,1,False,27,55432.0,49,1580191.0,25,167117.0,82,6955.0
15,231790.0,blue ,True,False,True,True,False,True,11,3,1,3,True,20,139496.0,34,120965.0,20,77864.0,69,69501.0
9,1221.0,blue ,False,False,False,True,False,False,0,0,0,0,False,6,151060.0,8,1080982.0,14,1609407.0,19,10611.0
55,6653.0,blue ,False,True,False,False,False,True,7,5,0,3,True,48,78049.0,45,150953.0,20,163904.0,93,3931.0
26,41550.0,blue ,True,True,False,True,False,False,3,0,0,0,False,27,198762.0,23,45667.0,22,114835.0,37,5462.0
17,10140.0,blue ,True,False,False,False,False,False,4,0,0,0,False,41,6880.0,44,14755.0,33,192776.0,79,32670.0
30,23296.0,red  ,False,True,False,True,False,False,5,1,0,0,False,35,327276.0,37,66036.0,24,206491.0,58,868.0
16,34902.0,blue ,False,True,False,True,False,False,3,0,0,0,False,20,33741.0,14,180978.0,22,55373.0,31,13020.0
20,186745.0,blue ,True,True,False,True,True,True,8,1,1,2,True,34,1832.0,27,1487661.0,11,196594.0,76,3822.0
11,2105959.0,red  ,False,False,False,False,False,False,1,0,0,0,False,23,88874.0,15,64647.0,11,150442.0,51,127212.0
20,411251.0,blue ,False,False,False,False,False,False,0,0,0,0,False,21,75951.0,16,8116730.0,17,22235.0,29,553.0
21,36986.0,red  ,True,False,False,False,False,False,1,0,0,0,False,20,71546.0,17,158262.0,18,171237.0,69,6283.0
10,4511.0,red  ,False,False,True,False,False,False,0,1,0,0,False,24,103570.0,13,463914.0,17,31859.0,26,333835.0
15,29151.0,blue ,True,False,True,False,False,False,5,2,0,0,False,35,20124.0,49,44166.0,22,14400.0,45,319707.0
